depth,mag,nst,gap,dmin,rms,horizontalError,depthError,lon_sin,lon_cos,lat_sin,lat_cos
547.033,5.5,63.0,39.0,5.976,1.13,8.66,7.704,-0.0017732535907133147,-0.9999984277846156,-0.39767961621766384,0.91752434455167
11.854,5.5,58.0,53.0,1.485,1.4,5.21,4.721,0.798010112134984,-0.6026440582386177,0.1268274329844178,0.9919247966668557
35.0,6.4,118.0,30.0,1.178,1.17,7.94,1.842,0.8015450699702903,-0.5979343616203391,0.1286259770109723,0.9916931773678656
62.384,5.0,47.0,79.0,2.388,0.54,9.64,6.266,0.20370155724476502,-0.9790330308912247,-0.3028290179601642,0.953044902342635
,5.367800000000001,112.0,54.0,1.991,0.88,6.54,1.848,0.9641588738248874,0.26532558494183106,0.6053259411235249,0.7959777038353015
41.976,5.2,71.0,94.0,1.38,1.02,9.35,6.526,0.34432177668173425,-0.9388516997389598,0.786516992419855,0.6175686363756062
,5.599600000000001,64.0,30.0,0.764,0.98,7.36,1.838,0.8985720516047939,0.4388260111647343,-0.3295275134698567,0.9441459727533521
,5.367800000000001,60.0,71.0,3.879,0.52,6.82,1.874,0.5905267937585544,-0.8070180331648368,0.20534678054196956,0.9786892763901361
,5.2519,29.0,126.0,5.984,0.78,11.69,1.927,-0.04335260459625579,-0.9990598338811949,-0.5394028866486553,0.8420478168578658
223.59,5.136,74.0,102.0,2.313,0.74,11.19,7.316,0.5622421555635262,-0.8269726467709072,0.3018274979488145,0.9533625551079496
23.119,5.0,38.0,48.0,1.727,0.46,6.37,1.665,0.7300430117299177,-0.6834012006313065,0.5784557291754838,0.8157137790818906
,5.7,111.0,23.0,1.717,1.06,5.7,1.743,0.7304543815955622,-0.6829614896960478,0.5781467471566348,0.8159328028411421
424.619,5.1,111.0,45.0,3.831,0.77,5.76,5.895,0.5275964496453771,-0.8494951361376903,0.7443360230727928,0.6678052745794831
175.334,5.367800000000001,109.0,16.0,3.62,0.8,7.07,4.74,0.5352725946750572,-0.8446793766807805,-0.09893245822140459,0.9950941506763418
35.0,5.367800000000001,110.0,27.0,3.506,0.42,7.91,1.796,0.9991272827314215,-0.04176928179567011,0.4441285950528502,0.8959630522830623
,5.7,89.0,45.0,18.571,0.74,11.76,1.804,0.6315598577337177,0.7753271219939144,-0.6880152078190797,0.72569626828975
35.0,5.2519,81.0,133.0,1.445,0.88,10.2,1.927,0.34997359375835896,-0.9367595655619745,0.7845740473842,0.6200351314007739
35.0,5.2519,52.0,82.0,15.861,0.71,12.33,1.911,-0.42684970513180237,0.9043225802936103,-0.8547814617333278,0.5189881045621715
,5.136,59.0,74.0,4.205,0.81,9.37,1.878,0.9962168746071495,0.08690189150969606,0.6725876965504437,0.7400174257738585
33.682,5.2519,46.0,51.0,1.28,0.59,11.68,4.886,0.4675780958835787,-0.883951765793749,-0.09547570226191887,0.9954317607338001
,5.136,27.0,118.0,2.083,0.95,7.56,1.797,0.4638094673666188,-0.8859349739010721,-0.10935785398842468,0.9940024445498343
,5.136,44.0,59.0,28.54581000000003,0.72,12.17,1.849,0.9370310975212657,0.3492459338032332,-0.4003074489230962,0.9163808958815558
,5.9,42.0,50.0,20.287,0.91,12.34,1.888,0.9936264683566058,-0.11272285208057424,-0.7120579079527106,0.7021207415551894
,5.136,34.0,51.0,4.051,0.5,8.8,1.876,0.5934511966334206,-0.8048699753465532,-0.11218696626343061,0.9936871160484109
56.235,5.7155000000000005,68.0,145.0,0.67,0.81,5.92,8.273,-0.8707559076474085,0.49171551663247093,0.2602315172782289,0.9655462482010226
35.0,6.5,73.0,88.0,0.963,1.04,8.71,1.92,-0.986848382041955,-0.16164860302884013,0.29073058270081764,0.9568049583287301
,5.136,35.0,127.0,28.54581000000003,0.81,14.2,1.902,-0.8576343813492036,-0.5142599225370074,-0.8053089204402458,0.5928554146327465
40.011,5.136,47.0,83.0,6.998,0.85,12.04,7.446,-0.4268544401479091,0.9043203453013844,-0.8411853298654336,0.5407469286266744
142.623,5.367800000000001,26.0,120.0,3.56,0.44,9.28,10.414,0.1942805774269335,-0.9809460011818476,-0.3203236667193589,0.9473081592277484
40.072,5.136,55.0,56.0,1.36,1.08,8.22,6.118,0.8009874436206573,-0.5986811464895518,0.13464513028565284,0.9908938837687714
5.0,5.3,32.0,91.0,0.384,1.07,1.44,1.958,-0.6388658407858961,-0.7693181640107882,0.8701708547996829,0.4927501227368585
9.03,5.7,51.0,63.0,0.387,0.75,4.57,7.833,-0.6411242076343252,-0.7674371312265642,0.8701484936124751,0.49278960933033106
136.721,5.136,47.0,64.0,2.833,0.66,8.21,7.501,0.6634196607520426,-0.7482475216982978,-0.07382826195623088,0.9972709700660709
182.003,5.3,65.0,39.0,1.765,1.06,8.15,6.165,-0.9190459330133084,0.39415044464226784,-0.4095441144058927,0.9122903147329215
176.055,5.599600000000001,55.0,48.0,1.997,0.72,9.57,6.965,0.7671494780150039,-0.6414683767585951,-0.11376504728584294,0.9935076819109402
111.995,5.136,64.0,51.0,1.984,0.79,7.82,5.892,0.7938471364075821,-0.6081173603980418,0.0870166468787562,0.9962068576184254
,6.0,84.0,35.0,18.023,0.79,9.98,1.756,0.9938586370312538,-0.11065717147288102,-0.7147229681891074,0.6994076627711138
19.297,6.0,162.0,85.0,1.548,0.68,6.33,4.235,0.6033680609485121,-0.7974628411576508,0.6442824855913882,0.7647876036914972
