price_usd_normalized,serving_size_g,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,sugars_g,avg_rating,Non-Veg,Veg,Vegan,budget,mid,premium
5.97,63.0,266.4,0.0,14.5,31.1,581.0,1.7,2,0.0,0.0,1.0,1.0,0.0,0.0
7.76,183.3,160.9,8.1,9.3,44.3,932.9,4.1,3,1.0,0.0,0.0,1.0,0.0,0.0
7.0,204.5,501.6,21.6,24.6,40.4,1157.8,13.3,2,1.0,0.0,0.0,1.0,0.0,0.0
13.09,108.8,559.6,0.7,4.7,69.9,258.4,47.8,2,0.0,1.0,0.0,0.0,1.0,0.0
4.78,131.9,470.9,0.0,26.7,66.2,260.5,39.3,2,0.0,1.0,0.0,1.0,0.0,0.0
9.06,206.9,271.4,17.5,29.2,32.7,883.1,9.4,2,0.0,1.0,0.0,0.0,1.0,0.0
4.27,64.0,413.2,1.9,28.8,34.2,404.9,6.2,2,0.0,1.0,0.0,1.0,0.0,0.0
13.31,326.9,346.7,7.0,15.7,18.2,537.1,5.8,2,0.0,1.0,0.0,0.0,1.0,0.0
8.78,125.8,278.1,4.9,19.4,32.0,53.0,3.7,2,0.0,1.0,0.0,0.0,1.0,0.0
5.86,421.9,182.7,0.0,0.0,62.4,87.8,59.0,3,0.0,1.0,0.0,0.0,1.0,0.0
2.62,374.2,565.8,0.0,8.9,54.0,539.2,4.1,3,0.0,1.0,0.0,1.0,0.0,0.0
14.03,351.8,713.8,31.8,10.9,46.2,769.4,3.6,2,1.0,0.0,0.0,0.0,1.0,0.0
5.15,425.8,143.2,3.3,3.0,46.3,48.2,29.5,3,0.0,0.0,1.0,0.0,1.0,0.0
8.7,134.7,147.8,14.4,5.7,35.8,660.5,6.4,2,1.0,0.0,0.0,1.0,0.0,0.0
31.32,524.5,436.3,0.7,0.0,31.9,67.1,30.305,2,0.0,1.0,0.0,0.0,0.0,1.0
49.29,239.2,383.4,40.3,9.4,45.2,460.3,9.0,2,0.0,1.0,0.0,0.0,0.0,1.0
11.44,365.0,24.8,0.0,3.2,81.5,76.4,51.9,3,0.0,0.0,1.0,0.0,1.0,0.0
3.44,246.9,192.5,17.6,11.3,17.4,530.3,4.4,3,0.0,0.0,1.0,1.0,0.0,0.0
6.16,128.2,353.2,2.4,18.5,40.2,299.2,38.19,2,0.0,1.0,0.0,1.0,0.0,0.0
4.83,185.1,416.3,8.4,15.0,76.2,586.8,0.0,2,0.0,1.0,0.0,1.0,0.0,0.0
4.51,131.3,282.3,2.5,1.9,52.7,470.5,3.9,2,1.0,0.0,0.0,1.0,0.0,0.0
