price_usd_normalized,serving_size_g,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,sugars_g,avg_rating,Non-Veg,Veg,Vegan,budget,mid,premium
5.77,294.1,105.4,9.2,13.7,9.5,585.1,5.6,2,1.0,0.0,0.0,1.0,0.0,0.0
8.89,183.4,336.8,14.2,14.4,42.8,612.9,4.0,2,0.0,1.0,0.0,0.0,1.0,0.0
4.71,335.3,677.8,20.7,0.7,71.2,730.9,5.1,2,1.0,0.0,0.0,1.0,0.0,0.0
6.39,320.8,237.1,16.8,20.3,22.1,735.4,12.4,2,0.0,1.0,0.0,1.0,0.0,0.0
3.07,523.2,70.8,0.0,0.8,86.5,41.9,22.8,3,0.0,0.0,1.0,1.0,0.0,0.0
1.75,482.8,88.5,1.6,0.0,83.0,36.7,52.3,3,0.0,1.0,0.0,1.0,0.0,0.0
6.9,125.2,334.3,3.2,18.7,26.2,388.6,3.2,3,1.0,0.0,0.0,0.0,1.0,0.0
14.65,203.3,311.3,18.8,11.3,49.2,669.5,7.6,2,0.0,1.0,0.0,0.0,1.0,0.0
1.39,242.1,360.2,2.7,1.4,51.5,8.7,48.925,2,0.0,0.0,1.0,1.0,0.0,0.0
8.66,439.6,66.6,2.5,0.0,66.7,60.2,42.4,3,0.0,1.0,0.0,0.0,1.0,0.0
2.48,212.1,536.5,28.8,17.9,52.0,706.4,13.0,2,0.0,1.0,0.0,1.0,0.0,0.0
4.0,253.1,287.0,3.2,0.0,25.5,0.0,24.225,3,0.0,0.0,1.0,1.0,0.0,0.0
2.31,151.1,115.1,10.0,21.8,33.4,436.6,4.1,2,0.0,1.0,0.0,1.0,0.0,0.0
8.41,94.8,434.9,4.0,17.0,56.2,494.7,3.7,3,1.0,0.0,0.0,0.0,1.0,0.0
11.48,160.8,117.6,6.5,12.7,15.0,687.1,14.25,3,0.0,1.0,0.0,0.0,1.0,0.0
7.62,206.7,364.4,14.2,12.8,52.2,628.0,10.6,3,0.0,0.0,1.0,1.0,0.0,0.0
7.48,283.3,139.7,5.5,19.1,33.0,591.0,4.0,2,0.0,1.0,0.0,1.0,0.0,0.0
5.82,473.0,5.0,0.3,0.0,50.6,54.5,23.5,2,0.0,1.0,0.0,0.0,1.0,0.0
7.47,572.8,245.0,2.5,4.8,37.3,17.3,20.8,2,0.0,0.0,1.0,0.0,1.0,0.0
5.32,155.9,250.6,0.8,13.0,50.7,173.8,19.0,2,0.0,1.0,0.0,1.0,0.0,0.0
2.64,285.0,242.2,23.6,16.8,10.8,880.8,10.26,3,1.0,0.0,0.0,1.0,0.0,0.0
13.32,134.5,297.7,12.4,13.6,38.2,588.9,3.6,2,0.0,1.0,0.0,0.0,1.0,0.0
17.92,468.5,96.3,0.4,4.9,36.7,33.9,20.6,2,0.0,1.0,0.0,0.0,0.0,1.0
2.56,281.8,355.1,24.3,20.9,37.4,658.4,8.3,2,1.0,0.0,0.0,1.0,0.0,0.0
13.49,133.5,224.1,2.8,8.7,53.9,380.4,7.0,3,0.0,1.0,0.0,0.0,1.0,0.0
41.62,294.5,742.7,24.1,21.9,22.2,776.2,8.4,2,1.0,0.0,0.0,0.0,0.0,1.0
4.06,281.9,319.7,16.2,1.2,35.1,136.7,12.5,3,0.0,1.0,0.0,1.0,0.0,0.0
7.58,348.6,578.7,10.4,8.4,48.1,838.6,11.2,3,1.0,0.0,0.0,1.0,0.0,0.0
10.33,290.0,252.4,8.4,12.6,30.3,295.8,5.8,3,0.0,1.0,0.0,0.0,1.0,0.0
2.32,255.5,463.4,16.1,15.0,49.4,614.9,5.6,3,1.0,0.0,0.0,1.0,0.0,0.0
42.49,326.5,730.3,25.9,26.9,48.3,1029.4,5.5,2,1.0,0.0,0.0,0.0,0.0,1.0
4.21,443.1,152.7,0.3,0.0,30.9,56.2,19.9,2,0.0,1.0,0.0,1.0,0.0,0.0
14.94,207.7,248.2,11.6,18.0,39.8,716.0,4.1,3,0.0,1.0,0.0,0.0,1.0,0.0
5.16,363.6,362.7,10.0,18.8,46.6,988.7,3.7,3,0.0,1.0,0.0,1.0,0.0,0.0
5.12,417.8,665.4,21.2,13.8,43.0,912.9,7.7,2,1.0,0.0,0.0,1.0,0.0,0.0
3.41,84.2,189.8,3.5,15.4,43.2,136.4,2.3,2,0.0,1.0,0.0,1.0,0.0,0.0
