price_usd_normalized,serving_size_g,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,sugars_g,avg_rating,Non-Veg,Veg,Vegan,budget,mid,premium
1.98,258.6,501.5,26.5,22.5,59.7,1055.5,8.4,3,0.0,1.0,0.0,1.0,0.0,0.0
3.77,212.4,619.2,36.1,17.5,62.0,922.0,6.1,2,1.0,0.0,0.0,0.0,1.0,0.0
1.5,106.4,515.0,6.1,13.1,73.5,284.6,51.8,2,1.0,0.0,0.0,1.0,0.0,0.0
2.09,237.3,463.8,25.6,11.0,61.2,750.5,5.8,2,0.0,0.0,1.0,1.0,0.0,0.0
3.79,243.7,766.4,32.7,24.4,37.2,1018.4,5.0,2,1.0,0.0,0.0,1.0,0.0,0.0
2.04,340.7,5.0,1.3,2.0,0.0,42.9,0.0,2,0.0,1.0,0.0,1.0,0.0,0.0
2.29,125.5,373.5,5.9,21.5,55.0,193.1,40.8,1,0.0,1.0,0.0,1.0,0.0,0.0
17.74,145.6,258.1,19.7,15.5,34.9,922.0,5.2,3,1.0,0.0,0.0,0.0,0.0,1.0
1.66,197.4,526.3,7.4,1.4,59.1,736.5,8.1,2,0.0,0.0,1.0,1.0,0.0,0.0
1.06,495.1,300.7,0.1,0.1,22.1,54.4,0.0,3,0.0,1.0,0.0,1.0,0.0,0.0
1.64,140.8,236.4,5.3,26.0,51.4,328.3,5.6,3,0.0,1.0,0.0,1.0,0.0,0.0
2.93,243.3,656.8,18.2,22.7,43.8,1039.2,12.4,2,0.0,1.0,0.0,1.0,0.0,0.0
4.61,492.6,221.9,2.5,2.6,19.0,5.8,18.05,2,0.0,1.0,0.0,0.0,1.0,0.0
6.11,126.1,205.9,12.0,7.5,33.8,699.0,2.4,2,1.0,0.0,0.0,0.0,1.0,0.0
2.64,67.7,456.2,0.3,28.5,31.8,374.9,30.21,2,0.0,1.0,0.0,1.0,0.0,0.0
4.96,530.3,150.1,4.3,8.3,58.9,27.3,30.3,2,0.0,1.0,0.0,0.0,1.0,0.0
1.26,292.0,120.5,1.8,0.0,58.1,0.0,25.2,1,0.0,0.0,1.0,1.0,0.0,0.0
4.1,597.1,5.0,0.6,3.1,57.1,9.9,54.245,2,0.0,0.0,1.0,0.0,1.0,0.0
2.77,152.0,271.8,13.9,10.1,45.0,565.8,4.6,2,1.0,0.0,0.0,1.0,0.0,0.0
8.29,157.8,319.5,5.7,16.6,36.1,811.6,5.9,2,0.0,1.0,0.0,0.0,1.0,0.0
3.09,263.6,443.4,18.2,11.0,45.0,361.6,4.7,3,0.0,1.0,0.0,1.0,0.0,0.0
3.15,207.2,623.0,35.8,36.4,48.7,790.6,11.1,2,1.0,0.0,0.0,1.0,0.0,0.0
1.92,366.5,194.3,3.5,1.2,73.1,58.0,69.445,2,0.0,1.0,0.0,1.0,0.0,0.0
2.42,425.4,506.2,31.5,2.8,69.5,578.9,7.0,1,1.0,0.0,0.0,1.0,0.0,0.0
1.37,136.2,285.2,7.2,14.8,27.6,279.4,1.0,2,1.0,0.0,0.0,1.0,0.0,0.0
3.32,123.9,295.0,10.7,12.5,30.6,428.7,1.4,2,0.0,1.0,0.0,1.0,0.0,0.0
2.19,130.7,201.9,5.0,10.3,45.3,452.8,4.3,3,0.0,1.0,0.0,1.0,0.0,0.0
1.7,200.7,332.5,22.2,7.8,33.3,680.7,7.0,3,1.0,0.0,0.0,1.0,0.0,0.0
5.68,223.7,425.2,21.0,35.4,40.0,385.9,8.1,3,0.0,1.0,0.0,0.0,1.0,0.0
3.29,314.9,649.8,18.2,23.1,76.2,712.4,12.5,1,1.0,0.0,0.0,1.0,0.0,0.0
2.48,174.7,329.7,19.5,21.0,36.7,988.3,10.7,2,1.0,0.0,0.0,1.0,0.0,0.0
4.25,229.1,493.2,6.6,15.5,51.8,283.8,4.1,3,0.0,1.0,0.0,0.0,1.0,0.0
16.83,168.7,461.1,14.3,11.0,32.7,465.5,6.8,2,1.0,0.0,0.0,0.0,0.0,1.0
0.65,561.2,213.9,1.5,5.2,75.6,10.3,33.2,3,0.0,1.0,0.0,1.0,0.0,0.0
6.55,115.9,421.8,4.5,26.7,70.1,196.7,22.7,2,0.0,0.0,1.0,0.0,1.0,0.0
1.53,166.3,422.1,10.5,12.8,29.1,502.0,3.8,3,1.0,0.0,0.0,1.0,0.0,0.0
1.64,411.7,63.1,0.3,1.2,44.3,78.5,27.4,1,0.0,1.0,0.0,1.0,0.0,0.0
6.33,180.6,539.6,25.8,31.2,38.3,1004.8,7.6,3,1.0,0.0,0.0,0.0,1.0,0.0
3.74,168.8,353.2,14.7,26.7,26.9,1418.7,10.5,2,0.0,1.0,0.0,1.0,0.0,0.0
24.18,184.4,426.7,12.2,11.5,43.0,1050.0,5.4,3,1.0,0.0,0.0,0.0,0.0,1.0
1.53,99.1,436.3,1.2,6.5,53.6,308.2,50.92,2,0.0,1.0,0.0,1.0,0.0,0.0
3.7,343.7,307.2,0.4,1.3,59.5,37.6,49.2,3,0.0,1.0,0.0,0.0,1.0,0.0
2.13,480.1,5.0,1.0,0.0,14.2,79.6,13.489999999999998,3,0.0,0.0,1.0,1.0,0.0,0.0
17.95,256.8,474.6,10.4,32.6,54.9,666.0,6.8,3,0.0,1.0,0.0,0.0,0.0,1.0
8.99,295.0,269.2,3.2,0.2,35.0,50.5,31.7,3,0.0,0.0,1.0,0.0,0.0,1.0
1.99,179.1,320.6,11.8,20.7,47.5,880.1,8.8,2,1.0,0.0,0.0,1.0,0.0,0.0
2.22,156.6,528.1,23.1,12.3,41.9,997.3,7.3,2,1.0,0.0,0.0,1.0,0.0,0.0
1.32,134.2,473.5,3.2,26.1,56.9,210.3,2.4,2,0.0,1.0,0.0,1.0,0.0,0.0
7.56,214.6,583.9,35.3,51.0,57.7,809.8,11.1,2,0.0,1.0,0.0,0.0,1.0,0.0
2.72,115.7,449.3,9.0,30.7,60.6,241.0,45.2,1,1.0,0.0,0.0,1.0,0.0,0.0
2.53,234.7,149.6,14.5,13.4,13.8,545.4,5.8,3,1.0,0.0,0.0,1.0,0.0,0.0
23.04,189.9,401.4,14.7,4.5,44.2,742.3,2.2,2,0.0,1.0,0.0,0.0,0.0,1.0
1.45,219.7,387.2,25.3,20.5,52.5,912.6,13.5,2,0.0,1.0,0.0,1.0,0.0,0.0
2.41,176.9,220.9,16.7,9.5,26.9,586.3,3.6,2,1.0,0.0,0.0,1.0,0.0,0.0
26.75,374.0,470.6,19.9,18.4,57.1,818.9,7.2,2,0.0,1.0,0.0,0.0,0.0,1.0
2.84,175.0,402.4,17.3,6.8,40.0,899.3,5.8,3,1.0,0.0,0.0,1.0,0.0,0.0
3.62,237.8,574.2,22.2,17.7,41.2,928.6,7.9,3,1.0,0.0,0.0,1.0,0.0,0.0
5.64,133.7,264.5,8.3,16.3,27.6,587.1,5.9,3,0.0,1.0,0.0,0.0,1.0,0.0
3.22,340.7,433.8,12.5,0.0,6.3,425.1,5.984999999999999,2,1.0,0.0,0.0,1.0,0.0,0.0
2.04,195.3,356.8,29.9,26.2,71.9,699.2,8.6,2,0.0,0.0,1.0,1.0,0.0,0.0
1.91,193.7,345.7,14.8,6.4,26.5,627.7,3.7,3,0.0,1.0,0.0,1.0,0.0,0.0
1.2,115.4,223.0,12.5,12.4,26.0,1061.8,8.0,3,1.0,0.0,0.0,1.0,0.0,0.0
7.25,233.1,452.1,30.1,28.5,53.4,833.9,8.6,1,1.0,0.0,0.0,0.0,0.0,1.0
8.5,179.6,177.1,15.0,8.9,36.0,842.9,2.7,3,0.0,1.0,0.0,0.0,1.0,0.0
4.65,50.0,361.4,5.5,9.3,63.9,274.9,40.0,2,0.0,1.0,0.0,0.0,1.0,0.0
2.35,309.3,253.9,7.6,18.4,37.0,726.4,6.6,1,0.0,0.0,1.0,1.0,0.0,0.0
2.05,434.4,150.1,1.5,6.3,28.9,85.2,16.6,2,0.0,1.0,0.0,1.0,0.0,0.0
2.73,89.2,341.3,5.9,9.6,65.8,317.8,43.0,3,0.0,0.0,1.0,1.0,0.0,0.0
6.15,200.6,328.0,22.5,12.2,20.6,656.0,4.6,1,0.0,0.0,1.0,0.0,1.0,0.0
2.26,102.9,454.2,2.9,13.0,76.4,311.3,64.4,2,0.0,1.0,0.0,1.0,0.0,0.0
0.68,545.0,152.2,2.7,0.8,43.6,40.4,32.0,1,0.0,1.0,0.0,1.0,0.0,0.0
3.61,184.4,408.2,8.0,9.3,39.0,449.4,3.7,3,0.0,1.0,0.0,0.0,1.0,0.0
2.96,89.4,397.6,3.4,34.1,53.4,170.9,45.1,3,0.0,1.0,0.0,0.0,1.0,0.0
5.18,530.4,255.5,1.6,0.0,20.1,71.0,19.095,1,0.0,1.0,0.0,0.0,1.0,0.0
1.3,391.6,386.2,3.0,1.4,32.7,35.8,31.065,2,0.0,1.0,0.0,1.0,0.0,0.0
3.41,200.9,568.9,21.2,37.0,51.1,550.8,11.8,2,1.0,0.0,0.0,1.0,0.0,0.0
4.24,412.3,236.1,4.1,5.2,31.8,84.1,30.21,2,0.0,1.0,0.0,0.0,1.0,0.0
2.16,470.0,110.0,4.1,0.0,81.8,0.0,45.6,3,0.0,1.0,0.0,1.0,0.0,0.0
15.59,280.4,99.5,13.7,15.4,39.8,600.6,11.7,2,0.0,1.0,0.0,0.0,0.0,1.0
3.84,196.7,486.2,15.6,17.6,75.9,1112.7,15.2,2,0.0,1.0,0.0,0.0,1.0,0.0
3.03,270.3,445.6,21.9,18.8,47.5,782.0,13.4,3,0.0,0.0,1.0,1.0,0.0,0.0
7.99,197.7,462.2,19.8,25.9,40.1,784.5,9.2,2,1.0,0.0,0.0,0.0,1.0,0.0
1.8,164.5,318.7,17.0,30.8,56.4,1060.4,5.9,3,0.0,1.0,0.0,1.0,0.0,0.0
2.13,98.4,323.9,4.9,21.3,56.8,313.0,32.3,2,1.0,0.0,0.0,1.0,0.0,0.0
3.25,258.4,523.4,33.7,28.0,41.2,809.1,14.8,3,1.0,0.0,0.0,1.0,0.0,0.0
2.21,232.4,557.9,30.1,15.4,46.2,691.9,10.6,3,0.0,1.0,0.0,1.0,0.0,0.0
5.29,109.4,351.9,7.9,9.5,30.5,605.0,8.4,3,0.0,1.0,0.0,0.0,1.0,0.0
1.78,116.4,454.0,17.9,36.0,47.6,1105.4,15.6,3,1.0,0.0,0.0,1.0,0.0,0.0
2.9,161.9,300.9,7.7,11.5,40.4,673.2,3.2,2,0.0,1.0,0.0,1.0,0.0,0.0
23.19,221.0,601.3,15.3,24.5,59.5,810.4,9.9,1,0.0,1.0,0.0,0.0,0.0,1.0
