price_usd_normalized,serving_size_g,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,sugars_g,avg_rating,Non-Veg,Veg,Vegan,budget,mid,premium
8.66,224.9,438.3,23.4,27.8,46.0,744.4,12.1,3,0.0,1.0,0.0,0.0,1.0,0.0
6.89,85.7,310.4,7.4,27.5,58.9,340.3,46.3,2,1.0,0.0,0.0,1.0,0.0,0.0
4.9,211.9,265.1,12.8,6.3,43.3,835.5,5.0,3,1.0,0.0,0.0,1.0,0.0,0.0
8.72,235.1,374.8,32.7,28.8,59.9,683.9,7.2,2,1.0,0.0,0.0,1.0,0.0,0.0
36.59,421.3,395.3,1.1,10.0,57.9,20.3,18.5,3,0.0,1.0,0.0,0.0,0.0,1.0
6.45,371.5,204.4,6.3,0.0,59.2,0.0,29.3,3,0.0,1.0,0.0,0.0,1.0,0.0
58.58,369.7,542.9,19.2,15.2,44.3,528.5,3.8,2,1.0,0.0,0.0,0.0,0.0,1.0
4.96,120.0,515.1,2.0,18.2,74.5,182.2,43.0,2,1.0,0.0,0.0,1.0,0.0,0.0
7.18,190.9,297.0,23.1,17.3,54.2,1038.5,7.3,1,1.0,0.0,0.0,1.0,0.0,0.0
7.58,358.3,656.3,9.5,21.6,63.6,724.6,3.0,3,1.0,0.0,0.0,1.0,0.0,0.0
24.8,381.7,764.6,14.9,10.7,51.9,476.0,11.3,2,1.0,0.0,0.0,0.0,1.0,0.0
4.04,239.4,442.2,30.8,27.7,38.1,1381.9,7.0,2,1.0,0.0,0.0,1.0,0.0,0.0
6.26,457.7,162.4,0.0,4.0,67.9,0.0,30.5,3,0.0,1.0,0.0,1.0,0.0,0.0
13.06,386.4,498.2,22.8,24.7,91.9,897.3,6.1,3,1.0,0.0,0.0,0.0,1.0,0.0
38.01,259.1,598.2,26.4,25.5,51.3,446.8,12.2,1,0.0,1.0,0.0,0.0,0.0,1.0
25.87,271.6,284.5,24.7,23.1,92.0,801.3,8.4,2,0.0,0.0,1.0,0.0,1.0,0.0
12.93,171.7,420.9,13.5,10.3,36.0,781.5,5.1,3,1.0,0.0,0.0,0.0,1.0,0.0
10.73,195.0,274.1,7.1,18.0,32.5,497.6,2.0,2,0.0,1.0,0.0,0.0,1.0,0.0
7.8,129.4,318.2,15.5,13.7,33.5,680.5,5.1,3,1.0,0.0,0.0,1.0,0.0,0.0
13.65,121.0,362.7,6.5,10.5,38.1,199.0,2.4,2,0.0,1.0,0.0,0.0,1.0,0.0
