price_usd_normalized,serving_size_g,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,sugars_g,avg_rating,Non-Veg,Veg,Vegan,budget,mid,premium
2.78,151.7,338.5,1.3,0.0,77.3,304.5,25.8,3,0.0,1.0,0.0,1.0,0.0,0.0
8.47,87.7,404.3,5.3,7.3,79.4,461.5,58.4,2,0.0,1.0,0.0,0.0,1.0,0.0
2.79,125.4,365.5,0.0,11.2,56.1,323.8,48.2,2,0.0,1.0,0.0,1.0,0.0,0.0
8.15,197.7,504.8,32.4,31.6,41.6,1022.7,9.3,3,1.0,0.0,0.0,1.0,0.0,0.0
2.81,140.3,388.2,0.0,16.0,63.9,436.3,41.8,2,0.0,1.0,0.0,1.0,0.0,0.0
3.96,80.8,532.0,11.7,13.9,59.9,124.0,56.905,2,0.0,1.0,0.0,1.0,0.0,0.0
17.97,202.8,630.3,28.1,23.3,70.4,1014.8,5.4,2,1.0,0.0,0.0,0.0,1.0,0.0
4.42,140.4,303.2,14.4,7.3,37.9,438.5,3.7,2,0.0,1.0,0.0,1.0,0.0,0.0
31.98,138.5,350.8,13.2,7.4,37.9,784.1,7.2,2,1.0,0.0,0.0,0.0,0.0,1.0
5.0,185.4,429.9,16.7,14.8,44.4,597.3,6.4,2,0.0,0.0,1.0,1.0,0.0,0.0
18.97,385.3,585.8,7.0,9.2,64.2,557.8,11.9,1,0.0,0.0,1.0,0.0,1.0,0.0
5.2,214.6,351.3,35.0,24.1,73.3,1057.4,9.2,3,1.0,0.0,0.0,1.0,0.0,0.0
43.92,243.0,629.7,26.7,33.8,38.2,1338.5,6.0,1,1.0,0.0,0.0,0.0,0.0,1.0
16.98,160.2,270.4,10.6,8.1,36.4,834.7,6.8,2,0.0,1.0,0.0,0.0,1.0,0.0
5.68,239.0,561.4,26.7,22.8,48.3,1019.6,13.4,2,1.0,0.0,0.0,1.0,0.0,0.0
3.47,373.1,217.8,0.0,2.8,42.2,54.3,40.09,2,0.0,1.0,0.0,1.0,0.0,0.0
5.3,484.5,343.7,0.0,3.6,68.6,0.0,18.3,1,0.0,0.0,1.0,1.0,0.0,0.0
13.03,427.4,321.4,2.3,1.8,61.6,37.6,7.8,1,0.0,1.0,0.0,0.0,1.0,0.0
3.08,144.7,271.5,2.1,6.6,63.9,297.4,34.4,3,0.0,0.0,1.0,1.0,0.0,0.0
3.33,292.9,167.8,14.9,12.7,18.6,328.5,5.7,3,1.0,0.0,0.0,1.0,0.0,0.0
3.0,122.4,132.1,1.0,12.0,31.8,290.8,5.3,2,0.0,0.0,1.0,1.0,0.0,0.0
5.04,564.2,5.0,0.0,2.1,47.3,57.1,44.935,3,0.0,0.0,1.0,1.0,0.0,0.0
2.73,255.3,809.8,27.3,31.0,42.5,750.0,11.5,2,1.0,0.0,0.0,1.0,0.0,0.0
4.13,156.9,212.0,23.3,12.2,35.1,696.4,5.4,2,1.0,0.0,0.0,1.0,0.0,0.0
3.58,183.3,525.6,0.0,0.3,37.3,495.5,8.3,2,0.0,0.0,1.0,1.0,0.0,0.0
5.64,513.6,359.1,3.1,0.0,32.6,60.7,15.8,2,0.0,1.0,0.0,0.0,1.0,0.0
10.14,149.7,445.7,1.5,21.1,54.4,249.0,51.68,2,0.0,1.0,0.0,0.0,1.0,0.0
5.88,127.0,457.7,4.6,6.9,68.7,288.0,50.8,3,0.0,1.0,0.0,1.0,0.0,0.0
8.83,115.2,332.8,11.2,12.6,35.0,813.4,5.1,3,0.0,1.0,0.0,1.0,0.0,0.0
14.31,120.4,191.9,13.0,13.7,37.1,827.5,3.9,3,0.0,1.0,0.0,0.0,1.0,0.0
27.74,212.2,803.9,37.1,24.8,43.0,863.6,5.0,2,1.0,0.0,0.0,0.0,0.0,1.0
9.81,255.3,864.1,32.6,22.3,50.0,847.5,10.8,2,1.0,0.0,0.0,0.0,1.0,0.0
13.94,117.9,219.2,0.0,9.1,40.6,646.4,2.1,1,0.0,1.0,0.0,0.0,1.0,0.0
8.74,206.5,343.7,12.3,12.6,44.7,577.5,5.7,2,1.0,0.0,0.0,1.0,0.0,0.0
15.26,293.7,606.6,20.8,9.8,50.1,919.7,8.3,3,0.0,1.0,0.0,0.0,1.0,0.0
5.79,204.9,365.1,12.6,6.7,36.4,700.2,3.7,3,0.0,1.0,0.0,1.0,0.0,0.0
3.96,128.1,635.8,4.0,19.9,89.7,169.1,44.6,2,0.0,1.0,0.0,1.0,0.0,0.0
9.98,415.3,255.8,1.8,0.0,66.0,31.2,9.8,2,0.0,1.0,0.0,0.0,1.0,0.0
6.0,111.0,348.2,8.5,19.0,41.0,402.9,5.9,2,0.0,0.0,1.0,1.0,0.0,0.0
11.53,346.6,409.0,24.0,14.0,59.5,959.8,5.8,2,0.0,1.0,0.0,0.0,1.0,0.0
5.78,499.2,476.1,20.5,17.9,85.9,982.6,8.2,2,0.0,1.0,0.0,1.0,0.0,0.0
5.27,218.1,711.3,24.9,30.0,45.9,923.1,5.7,2,1.0,0.0,0.0,1.0,0.0,0.0
7.84,135.3,342.0,6.7,9.9,41.2,498.7,5.5,2,0.0,1.0,0.0,1.0,0.0,0.0
44.94,145.0,524.4,9.9,14.4,88.9,246.9,35.9,3,0.0,1.0,0.0,0.0,0.0,1.0
9.92,109.9,309.5,6.2,2.2,39.9,1017.9,5.2,3,0.0,1.0,0.0,1.0,0.0,0.0
18.48,417.5,312.6,4.4,3.5,44.3,6.6,18.6,2,0.0,1.0,0.0,0.0,0.0,1.0
5.51,576.2,38.9,1.8,2.1,82.0,39.1,39.4,2,0.0,1.0,0.0,0.0,1.0,0.0
4.57,124.6,198.5,15.5,8.2,28.4,724.5,7.6,2,0.0,1.0,0.0,1.0,0.0,0.0
5.15,273.4,93.8,17.1,13.5,24.7,636.7,5.1,2,0.0,1.0,0.0,1.0,0.0,0.0
4.7,587.0,230.7,0.0,3.1,70.4,27.7,35.4,3,0.0,1.0,0.0,1.0,0.0,0.0
9.15,479.3,192.8,4.3,5.1,29.8,74.4,28.31,2,0.0,1.0,0.0,0.0,1.0,0.0
3.68,528.9,16.5,2.3,0.0,18.3,30.2,17.385,3,0.0,1.0,0.0,1.0,0.0,0.0
7.86,250.5,501.4,17.8,6.0,47.7,1274.5,14.0,3,1.0,0.0,0.0,1.0,0.0,0.0
11.49,242.1,643.7,26.9,21.2,37.3,991.0,8.3,3,1.0,0.0,0.0,0.0,1.0,0.0
5.43,417.9,82.3,0.0,4.5,60.3,37.6,39.0,3,0.0,1.0,0.0,1.0,0.0,0.0
14.43,266.2,799.5,18.8,23.3,48.9,1199.4,9.2,3,1.0,0.0,0.0,0.0,1.0,0.0
4.17,344.8,349.6,0.5,0.0,48.5,56.9,46.075,1,0.0,1.0,0.0,1.0,0.0,0.0
15.74,295.0,506.4,29.7,16.7,62.4,736.6,4.8,1,1.0,0.0,0.0,0.0,1.0,0.0
2.87,572.1,166.0,4.1,1.9,47.1,57.2,23.6,2,0.0,1.0,0.0,1.0,0.0,0.0
3.85,438.0,273.5,3.0,0.0,62.5,54.2,49.5,3,0.0,1.0,0.0,1.0,0.0,0.0
4.77,99.8,358.6,10.9,11.6,37.7,728.6,6.4,2,1.0,0.0,0.0,1.0,0.0,0.0
8.47,189.0,173.8,8.8,7.7,42.6,956.6,4.8,2,1.0,0.0,0.0,1.0,0.0,0.0
5.51,268.6,287.5,1.3,4.1,77.8,73.6,28.0,2,0.0,1.0,0.0,1.0,0.0,0.0
8.19,179.0,577.6,31.1,27.2,28.7,901.3,9.3,2,1.0,0.0,0.0,1.0,0.0,0.0
8.02,195.4,611.8,31.9,43.7,39.1,731.2,5.7,3,1.0,0.0,0.0,1.0,0.0,0.0
1.8,398.5,54.0,0.8,1.9,40.6,3.6,38.57,2,0.0,1.0,0.0,1.0,0.0,0.0
8.28,200.6,308.8,16.3,4.5,44.8,772.5,8.0,3,0.0,1.0,0.0,1.0,0.0,0.0
2.43,103.3,148.1,0.6,13.9,46.9,521.4,0.0,3,0.0,1.0,0.0,1.0,0.0,0.0
26.03,198.0,459.0,5.7,12.8,33.0,628.1,10.5,2,0.0,1.0,0.0,0.0,0.0,1.0
4.84,352.5,147.0,0.0,0.6,3.7,48.9,3.515,3,0.0,0.0,1.0,1.0,0.0,0.0
7.08,268.2,285.2,10.9,6.0,47.3,824.3,10.7,3,0.0,0.0,1.0,1.0,0.0,0.0
2.65,629.0,184.3,2.8,1.8,8.3,30.1,7.885000000000001,2,0.0,1.0,0.0,1.0,0.0,0.0
2.86,148.0,360.1,13.6,18.9,33.7,823.4,13.8,1,0.0,0.0,1.0,1.0,0.0,0.0
3.38,100.8,474.9,26.1,21.8,58.4,645.8,9.0,3,1.0,0.0,0.0,1.0,0.0,0.0
13.02,469.8,138.8,3.0,0.2,56.0,7.0,15.8,2,0.0,1.0,0.0,0.0,1.0,0.0
44.93,198.8,468.4,24.1,22.5,57.2,1149.7,5.9,2,1.0,0.0,0.0,0.0,0.0,1.0
5.17,136.3,171.8,11.0,16.9,31.8,547.6,8.7,2,0.0,1.0,0.0,1.0,0.0,0.0
39.73,458.2,668.3,24.5,11.6,39.4,671.9,6.0,1,1.0,0.0,0.0,0.0,0.0,1.0
12.95,156.6,297.6,16.2,13.4,39.6,845.2,4.3,1,1.0,0.0,0.0,0.0,1.0,0.0
18.72,123.7,250.8,14.7,19.2,24.1,362.0,9.0,2,0.0,1.0,0.0,0.0,1.0,0.0
8.09,318.6,204.9,0.0,2.6,24.4,33.8,19.9,3,0.0,1.0,0.0,0.0,1.0,0.0
41.47,177.4,358.3,8.6,5.9,14.8,473.1,5.6,1,1.0,0.0,0.0,0.0,0.0,1.0
9.53,137.8,408.9,15.0,16.1,29.7,828.2,2.8,3,1.0,0.0,0.0,1.0,0.0,0.0
22.2,265.4,636.7,21.4,38.5,62.1,1031.7,8.5,3,1.0,0.0,0.0,0.0,0.0,1.0
9.61,154.2,315.7,11.4,21.6,39.5,493.4,5.1,1,0.0,1.0,0.0,0.0,1.0,0.0
9.75,132.1,226.9,10.1,13.8,31.6,757.1,4.6,2,1.0,0.0,0.0,1.0,0.0,0.0
4.96,194.5,547.8,23.9,36.9,58.7,818.0,5.9,3,0.0,1.0,0.0,1.0,0.0,0.0
5.2,343.3,517.3,23.7,15.3,64.3,852.9,10.7,3,1.0,0.0,0.0,1.0,0.0,0.0
5.22,572.1,253.0,3.0,3.7,19.5,0.0,9.8,3,0.0,1.0,0.0,1.0,0.0,0.0
4.76,108.8,289.9,7.8,14.4,68.3,193.6,22.3,3,0.0,1.0,0.0,1.0,0.0,0.0
2.65,274.4,369.3,19.1,20.4,34.0,780.9,8.0,3,1.0,0.0,0.0,1.0,0.0,0.0
9.25,369.0,495.2,32.6,14.7,36.5,586.6,5.4,3,1.0,0.0,0.0,1.0,0.0,0.0
14.53,214.5,351.1,6.4,10.8,27.5,680.9,6.4,2,0.0,0.0,1.0,0.0,1.0,0.0
31.4,299.1,97.0,1.2,0.0,51.7,34.8,28.7,2,0.0,1.0,0.0,0.0,0.0,1.0
21.63,153.6,749.8,26.5,25.7,46.9,912.5,3.8,2,1.0,0.0,0.0,0.0,1.0,0.0
2.32,142.5,378.4,3.6,10.6,42.8,375.0,33.7,3,0.0,1.0,0.0,1.0,0.0,0.0
4.33,288.3,280.3,0.0,0.0,11.8,31.0,11.21,3,0.0,1.0,0.0,1.0,0.0,0.0
6.22,191.8,558.7,10.9,14.5,46.2,912.2,10.7,2,0.0,1.0,0.0,1.0,0.0,0.0
8.68,118.9,130.4,13.5,3.3,33.8,709.6,5.6,3,0.0,1.0,0.0,1.0,0.0,0.0
11.94,346.5,287.5,0.0,4.1,74.3,66.9,42.9,2,0.0,1.0,0.0,0.0,1.0,0.0
8.47,245.3,293.1,20.2,23.7,48.4,1364.9,2.3,2,0.0,1.0,0.0,1.0,0.0,0.0
7.3,100.7,585.8,4.8,17.0,65.3,333.8,58.0,2,0.0,1.0,0.0,1.0,0.0,0.0
3.32,157.9,254.2,5.7,14.1,43.1,886.2,3.7,2,0.0,0.0,1.0,1.0,0.0,0.0
11.79,170.5,455.1,3.8,23.2,32.7,1091.9,6.4,1,0.0,1.0,0.0,0.0,1.0,0.0
3.77,50.0,309.3,6.6,8.3,40.3,317.5,38.285,3,0.0,0.0,1.0,1.0,0.0,0.0
14.53,148.0,248.5,12.8,17.1,29.9,73.4,4.8,1,0.0,1.0,0.0,0.0,1.0,0.0
2.37,141.0,294.4,3.8,6.3,58.4,648.3,0.0,2,0.0,1.0,0.0,1.0,0.0,0.0
13.37,203.0,512.1,35.3,19.4,43.8,817.0,12.0,3,0.0,1.0,0.0,0.0,1.0,0.0
14.9,380.5,301.8,31.8,14.8,66.1,889.7,3.5,3,1.0,0.0,0.0,0.0,1.0,0.0
5.57,454.7,505.5,0.0,1.5,59.5,46.2,37.6,3,0.0,0.0,1.0,0.0,1.0,0.0
46.98,124.5,308.1,13.1,12.4,33.6,759.4,6.4,3,1.0,0.0,0.0,0.0,0.0,1.0
18.74,338.0,630.7,36.0,14.1,44.1,672.6,0.7,2,1.0,0.0,0.0,0.0,1.0,0.0
12.83,479.6,111.3,1.2,4.0,53.4,54.0,31.7,3,0.0,1.0,0.0,0.0,1.0,0.0
54.45,364.0,647.4,23.1,3.6,68.4,1252.5,4.9,1,1.0,0.0,0.0,0.0,0.0,1.0
6.92,294.2,299.9,0.8,3.0,28.2,71.4,26.79,2,0.0,1.0,0.0,0.0,1.0,0.0
7.79,280.9,192.7,15.2,15.8,30.4,314.3,13.6,2,1.0,0.0,0.0,1.0,0.0,0.0
15.86,166.2,216.0,8.0,1.1,42.5,702.3,7.1,2,1.0,0.0,0.0,0.0,1.0,0.0
4.8,434.5,193.4,1.7,1.1,57.7,3.7,30.4,2,0.0,1.0,0.0,0.0,1.0,0.0
8.48,263.1,416.7,5.1,17.0,23.0,391.0,14.8,2,0.0,0.0,1.0,1.0,0.0,0.0
2.38,214.0,456.8,16.2,28.1,52.6,749.4,10.0,3,1.0,0.0,0.0,1.0,0.0,0.0
32.36,344.0,236.9,0.0,0.0,7.5,73.6,7.125,1,0.0,1.0,0.0,0.0,0.0,1.0
3.37,224.0,524.1,18.7,19.6,53.6,809.9,9.9,2,1.0,0.0,0.0,1.0,0.0,0.0
2.71,550.3,153.0,2.1,6.5,45.6,26.8,21.8,3,0.0,1.0,0.0,1.0,0.0,0.0
3.26,158.3,500.4,24.2,30.6,48.8,927.1,7.8,2,0.0,1.0,0.0,1.0,0.0,0.0
14.2,145.2,366.9,2.6,8.6,49.4,315.7,46.93,3,0.0,0.0,1.0,0.0,1.0,0.0
9.39,104.0,381.2,10.2,8.4,34.6,387.3,0.2,3,1.0,0.0,0.0,0.0,1.0,0.0
5.4,81.1,125.5,1.1,20.7,52.4,413.7,0.1,3,0.0,1.0,0.0,1.0,0.0,0.0
8.02,117.2,402.4,19.9,23.0,55.2,907.7,5.0,1,0.0,1.0,0.0,1.0,0.0,0.0
37.2,122.5,328.5,14.7,7.4,24.8,630.2,5.1,2,0.0,1.0,0.0,0.0,0.0,1.0
7.1,134.0,194.3,3.5,18.0,26.7,404.4,5.6,2,0.0,1.0,0.0,0.0,1.0,0.0
9.29,244.5,833.3,34.8,19.8,52.2,1211.6,4.5,2,1.0,0.0,0.0,1.0,0.0,0.0
11.33,243.5,299.9,0.0,15.0,20.1,470.1,11.7,2,0.0,1.0,0.0,0.0,1.0,0.0
8.86,584.3,240.6,0.0,1.7,44.5,60.2,13.2,3,0.0,1.0,0.0,0.0,1.0,0.0
11.67,255.3,778.1,26.2,29.9,39.9,1155.5,8.4,2,1.0,0.0,0.0,0.0,1.0,0.0
13.43,340.8,551.7,25.3,10.6,57.8,897.9,9.7,3,0.0,1.0,0.0,0.0,1.0,0.0
18.59,265.4,738.1,22.5,37.4,45.8,784.8,5.7,3,1.0,0.0,0.0,0.0,1.0,0.0
10.36,414.2,439.6,10.7,13.2,58.7,616.8,5.5,3,1.0,0.0,0.0,1.0,0.0,0.0
5.77,173.4,256.8,9.6,9.7,31.2,753.9,9.7,2,1.0,0.0,0.0,1.0,0.0,0.0
8.14,134.7,188.6,0.2,7.7,42.3,283.3,4.1,1,0.0,1.0,0.0,0.0,1.0,0.0
3.87,257.7,238.2,16.0,18.1,22.5,445.9,8.1,3,1.0,0.0,0.0,1.0,0.0,0.0
3.78,452.4,5.0,0.0,4.1,45.2,77.9,14.9,2,0.0,0.0,1.0,1.0,0.0,0.0
13.26,125.3,438.1,1.7,11.1,27.4,249.5,0.0,3,0.0,1.0,0.0,0.0,1.0,0.0
4.51,323.3,7.7,0.0,2.7,45.1,69.4,17.8,2,0.0,1.0,0.0,1.0,0.0,0.0
4.42,185.4,344.2,6.1,10.9,23.1,345.9,5.6,2,0.0,1.0,0.0,1.0,0.0,0.0
22.43,141.2,442.3,10.1,9.7,25.1,744.0,4.9,2,1.0,0.0,0.0,0.0,1.0,0.0
2.05,126.8,97.3,6.1,15.8,36.0,528.1,0.9,3,0.0,1.0,0.0,1.0,0.0,0.0
17.27,200.7,556.8,24.2,23.7,42.4,698.1,2.0,3,0.0,1.0,0.0,0.0,1.0,0.0
9.58,467.3,95.1,0.0,3.1,0.0,33.0,0.0,3,0.0,0.0,1.0,0.0,1.0,0.0
8.99,213.9,531.0,10.3,21.8,38.3,759.9,8.3,1,1.0,0.0,0.0,0.0,1.0,0.0
7.28,136.3,447.6,3.0,19.4,50.9,227.7,33.8,1,1.0,0.0,0.0,1.0,0.0,0.0
21.62,227.6,641.8,20.9,15.0,62.9,697.0,9.6,3,0.0,1.0,0.0,0.0,1.0,0.0
4.04,98.1,369.7,15.1,10.1,22.9,746.6,1.8,2,1.0,0.0,0.0,1.0,0.0,0.0
2.87,180.4,342.8,14.8,15.6,24.1,729.9,4.8,2,1.0,0.0,0.0,1.0,0.0,0.0
6.21,131.7,404.2,7.0,9.7,47.9,314.4,3.4,3,1.0,0.0,0.0,1.0,0.0,0.0
2.82,282.8,525.5,13.4,18.0,47.2,613.9,9.9,3,0.0,1.0,0.0,1.0,0.0,0.0
4.03,319.2,447.1,25.3,9.7,58.1,700.9,2.8,2,0.0,1.0,0.0,1.0,0.0,0.0
6.26,440.9,65.8,1.6,4.2,40.0,81.8,38.0,3,0.0,1.0,0.0,0.0,1.0,0.0
5.6,209.5,431.2,41.9,27.1,48.1,1251.0,7.2,2,1.0,0.0,0.0,1.0,0.0,0.0
5.35,178.3,345.3,26.5,20.1,32.9,683.3,8.5,2,0.0,1.0,0.0,1.0,0.0,0.0
21.83,187.8,658.9,26.4,34.4,69.2,611.6,7.1,3,0.0,1.0,0.0,0.0,1.0,0.0
7.04,93.2,203.3,0.0,10.6,40.0,413.7,5.1,2,0.0,1.0,0.0,0.0,1.0,0.0
4.71,431.2,5.0,5.9,0.0,44.1,47.0,41.895,2,0.0,1.0,0.0,1.0,0.0,0.0
19.53,307.5,334.7,3.8,10.3,9.0,573.8,8.549999999999999,2,0.0,0.0,1.0,0.0,1.0,0.0
8.11,499.7,370.6,1.7,1.9,60.3,47.5,49.2,2,0.0,1.0,0.0,0.0,1.0,0.0
7.65,280.5,87.0,0.9,0.0,29.1,62.1,27.645,2,0.0,0.0,1.0,0.0,1.0,0.0
8.4,172.8,351.2,19.5,12.4,58.4,543.1,11.2,2,0.0,0.0,1.0,1.0,0.0,0.0
6.23,117.9,365.7,14.9,20.5,22.1,1301.0,8.9,2,0.0,1.0,0.0,1.0,0.0,0.0
6.51,411.9,491.9,25.1,8.8,53.6,537.0,3.9,2,1.0,0.0,0.0,1.0,0.0,0.0
5.99,298.8,200.2,34.5,21.2,8.6,556.6,5.6,2,1.0,0.0,0.0,1.0,0.0,0.0
8.97,342.8,388.2,1.9,3.5,27.3,5.9,25.935,3,0.0,0.0,1.0,0.0,1.0,0.0
4.47,308.0,123.2,2.4,0.0,12.2,57.4,11.589999999999998,3,0.0,1.0,0.0,1.0,0.0,0.0
17.02,209.3,659.9,24.5,23.9,36.6,824.3,13.1,1,0.0,0.0,1.0,0.0,1.0,0.0
17.82,211.6,703.8,26.0,38.8,59.8,640.0,10.8,1,1.0,0.0,0.0,0.0,0.0,1.0
11.59,565.3,107.0,4.1,0.0,24.4,55.7,0.0,3,0.0,0.0,1.0,0.0,1.0,0.0
3.06,152.7,396.8,8.9,2.6,65.6,164.4,52.5,2,0.0,0.0,1.0,1.0,0.0,0.0
8.53,271.9,658.5,20.9,27.9,67.2,1066.7,9.0,1,1.0,0.0,0.0,0.0,1.0,0.0
13.99,352.2,417.0,23.7,0.0,24.9,450.8,7.1,2,0.0,0.0,1.0,0.0,1.0,0.0
7.88,401.6,46.8,2.2,0.0,42.1,46.5,39.995,3,0.0,1.0,0.0,0.0,1.0,0.0
16.1,229.0,547.9,31.5,20.6,37.7,739.8,8.3,3,0.0,1.0,0.0,0.0,1.0,0.0
6.8,133.2,505.9,7.1,20.0,56.9,235.0,52.3,3,1.0,0.0,0.0,1.0,0.0,0.0
14.29,162.8,494.9,6.9,13.2,45.0,1126.2,6.5,1,0.0,1.0,0.0,0.0,1.0,0.0
9.0,158.9,146.6,11.9,12.0,47.7,843.6,3.8,2,1.0,0.0,0.0,1.0,0.0,0.0
13.13,292.2,308.9,9.8,3.5,31.7,750.6,3.6,3,0.0,1.0,0.0,0.0,1.0,0.0
3.67,393.3,609.6,18.6,16.5,70.0,377.3,0.0,2,0.0,1.0,0.0,1.0,0.0,0.0
7.28,126.7,455.7,17.4,21.1,33.3,1028.1,13.1,3,1.0,0.0,0.0,1.0,0.0,0.0
22.33,286.7,172.9,10.7,2.8,17.2,181.9,11.2,3,0.0,1.0,0.0,0.0,0.0,1.0
36.35,136.5,313.6,9.0,12.2,30.5,475.9,7.5,2,1.0,0.0,0.0,0.0,0.0,1.0
3.23,55.1,404.4,12.1,15.2,42.6,295.7,2.4,2,0.0,1.0,0.0,1.0,0.0,0.0
11.24,264.0,434.2,5.3,8.1,17.6,226.2,0.0,2,0.0,1.0,0.0,0.0,1.0,0.0
5.33,331.9,344.2,4.1,17.1,21.5,829.7,4.6,2,1.0,0.0,0.0,1.0,0.0,0.0
5.64,449.7,183.9,0.9,1.2,113.5,34.8,48.8,2,0.0,0.0,1.0,1.0,0.0,0.0
12.89,120.5,655.7,0.0,17.5,77.9,250.0,13.9,2,1.0,0.0,0.0,0.0,1.0,0.0
3.1,256.0,192.0,8.4,8.8,14.5,432.7,5.5,2,1.0,0.0,0.0,1.0,0.0,0.0
6.46,114.4,419.9,21.4,24.0,32.0,555.9,8.4,3,1.0,0.0,0.0,1.0,0.0,0.0
4.78,173.7,604.8,4.0,2.3,52.9,224.5,30.9,3,0.0,1.0,0.0,1.0,0.0,0.0
6.3,280.3,604.7,24.4,21.9,57.6,545.3,10.9,2,1.0,0.0,0.0,1.0,0.0,0.0
3.97,208.3,486.3,5.3,16.6,40.7,617.7,10.2,3,0.0,0.0,1.0,1.0,0.0,0.0
20.75,201.8,174.6,15.6,19.7,26.2,759.7,5.3,2,0.0,1.0,0.0,0.0,1.0,0.0
2.96,241.2,455.7,10.9,3.4,35.7,494.4,11.8,2,0.0,1.0,0.0,1.0,0.0,0.0
2.88,117.2,206.9,7.0,8.2,63.9,256.7,48.6,2,0.0,0.0,1.0,1.0,0.0,0.0
5.86,153.9,209.7,4.8,19.6,48.9,241.2,0.8,3,1.0,0.0,0.0,1.0,0.0,0.0
38.11,298.3,559.2,17.1,21.8,32.0,1187.3,13.6,2,1.0,0.0,0.0,0.0,0.0,1.0
8.57,191.7,342.0,18.2,16.2,56.0,797.9,8.3,3,0.0,1.0,0.0,1.0,0.0,0.0
6.74,322.2,362.5,25.5,6.7,50.7,750.9,6.4,2,0.0,1.0,0.0,1.0,0.0,0.0
